x,y,z,walker
50.5562,2.61823,30.923,4
50.5562,2.61823,30.923,4
50.5562,2.61823,30.923,4
50.5562,2.61823,30.923,4
50.5562,2.61823,30.923,4
49.5922,3.77754,28.0773,4
49.676,3.27308,22.6261,4
49.2843,3.91389,21.6164,4
49.2843,3.91389,21.6164,4
49.2843,3.91389,21.6164,4
49.2843,3.91389,21.6164,4
49.2843,3.91389,21.6164,4
49.611,1.96335,13.6801,4
50.3552,1.01185,-8.3601,5
51.0493,1.63035,-17.6351,5
51.0493,1.63035,-17.6351,5
51.0493,1.63035,-17.6351,5
51.0493,1.63035,-17.6351,5
51.0493,1.63035,-17.6351,5
51.0751,2.26326,-1.18172,5
50.1276,2.81136,-8.82066,5
50.5901,3.74501,-9.01927,5
49.8456,3.30424,-7.65504,5
49.8456,3.30424,-7.65504,5
49.8462,1.41254,-13.5142,5
49.8462,1.41254,-13.5142,5
49.8462,1.41254,-13.5142,5
49.8462,1.41254,-13.5142,5
49.8462,1.41254,-13.5142,5
49.8462,1.41254,-13.5142,5
49.8035,1.43103,-13.841,5
49.8035,1.43103,-13.841,5
49.9568,1.70314,-18.2235,5
49.9568,1.70314,-18.2235,5
50.302,1.83737,-16.0561,5
50.2348,1.83492,-15.3242,5
50.2348,1.83492,-15.3242,5
50.2348,1.83492,-15.3242,5
50.2348,1.83492,-15.3242,5
50.4185,1.8592,-24.9403,5
50.4391,1.79813,-16.0976,5
50.1716,0.951721,-10.2167,5
50.3685,1.38998,-1.12344,5
50.0813,1.49445,0.4126,5
50.2544,1.5645,-2.04242,5
50.2544,1.5645,-2.04242,5
50.2544,1.5645,-2.04242,5
50.2474,1.39714,-4.78871,5
50.362,1.66887,-4.25777,5
50.362,1.66887,-4.25777,5
50.3489,1.72356,-5.24409,5
50.3489,1.72356,-5.24409,5
50.8985,2.08087,-43.6171,5
50.8985,2.08087,-43.6171,5
50.8985,2.08087,-43.6171,5
50.8985,2.08087,-43.6171,5
50.8985,2.08087,-43.6171,5
50.9575,2.25938,-27.0935,5
50.867,2.0568,-25.4505,5
50.8759,2.06325,-24.6852,5
50.8759,2.06325,-24.6852,5
50.6485,1.88166,-23.5114,5
50.4941,1.50339,-9.20475,5
50.3738,1.68184,0.830654,5
50.6908,2.53863,27.5829,6
50.6165,2.1324,24.4034,6
50.6165,2.1324,24.4034,6
50.6693,2.21321,0.46903,6
50.6493,1.8561,-0.611403,6
50.6493,1.8561,-0.611403,6
50.6493,1.8561,-0.611403,6
50.5727,2.10508,-9.65771,6
50.2507,1.74198,0.511625,6
50.311,1.9483,-4.49627,6
50.3244,1.84634,-5.09214,6
50.3244,1.84634,-5.09214,6
50.3244,1.84634,-5.09214,6
50.1965,1.41812,-2.78465,6
50.1965,1.46588,-4.88128,6
50.2437,1.49818,-5.35477,6
50.2392,1.40615,-3.51122,6
50.159,1.30736,-5.71794,6
49.9645,1.19635,-5.67347,6
49.9458,1.19495,-0.893013,6
50.3797,1.66114,-3.75152,6
50.2305,1.59221,-9.62574,6
50.1864,1.63582,-17.8803,6
50.2577,1.15685,-17.0112,6
50.3311,1.17078,-18.2527,6
50.3311,1.17078,-18.2527,6
50.3347,1.16749,-18.1663,6
50.6924,1.23169,3.65077,6
51.0411,1.2064,-4.08995,6
51.4354,1.35001,8.66849,6
50.9644,1.74644,6.93091,6
50.6539,1.65859,3.90986,6
50.6975,1.69821,0.872356,6
50.8115,0.949309,11.338,6
50.8115,0.949309,11.338,6
50.6041,0.576468,2.9879,6
49.6917,0.853168,11.4443,6
49.7483,0.852066,11.4813,6
49.7483,0.852066,11.4813,6
49.8308,1.01998,17.2283,6
48.2298,0.644423,38.9776,6
48.9083,0.896201,39.0451,6
48.7907,0.934087,48.8158,6
48.7907,0.934087,48.8158,6
48.8543,0.579899,36.8331,6
48.796,0.547345,26.8369,6
48.796,0.547345,26.8369,6
48.796,0.547345,26.8369,6
48.796,0.547345,26.8369,6
48.0267,0.00180073,26.8867,6
47.4392,-0.344009,32.4597,6
49.206,0.0426305,26.1431,7
49.88,0.503931,24.1666,7
49.8729,0.804835,36.0204,7
49.8729,0.804835,36.0204,7
49.3716,0.727248,46.6368,7
49.3716,0.727248,46.6368,7
49.3716,0.727248,46.6368,7
49.3716,0.727248,46.6368,7
49.6957,0.696656,40.3285,7
49.6957,0.696656,40.3285,7
49.5603,0.529008,34.5816,7
50.0749,0.642302,31.1247,7
50.0749,0.642302,31.1247,7
50.1773,0.663427,25.3286,7
50.1773,0.663427,25.3286,7
50.1773,0.663427,25.3286,7
50.9931,1.19402,31.1242,7
49.9083,0.451042,-0.701041,7
49.9083,0.451042,-0.701041,7
49.8911,0.206507,-1.82416,7
49.4044,0.490844,5.39782,7
49.303,0.242747,-3.42565,7
49.3017,0.256162,-3.15079,7
49.3017,0.256162,-3.15079,7
50.3181,0.418758,-15.8777,7
50.0043,0.618037,-3.89058,7
50.0043,0.618037,-3.89058,7
50.2772,0.581285,-2.4265,7
50.2639,0.62805,-3.40996,7
50.4299,0.77843,-15.2184,7
50.588,0.874194,-15.0114,7
50.4569,0.790381,-13.6463,7
50.5524,1.30566,10.4772,7
51.0684,2.20183,14.5485,7
51.0425,1.96482,17.061,7
50.8014,0.59588,14.7631,7
52.1942,1.15904,31.9522,7
52.1942,1.15904,31.9522,7
51.8586,1.0961,29.4227,7
50.9747,1.06292,24.1074,7
50.6244,0.980651,25.6344,7
50.6718,0.980565,24.7942,7
50.8361,1.50644,50.776,7
50.8361,1.50644,50.776,7
50.7964,1.38363,43.4585,7
50.4112,1.24236,36.8886,7
50.4262,1.26261,38.1168,7
50.4262,1.26261,38.1168,7
50.4262,1.26261,38.1168,7
50.5413,1.35589,46.2017,7
50.777,1.1296,44.9668,7
50.8596,1.58772,-2.46622,8
50.6969,1.35941,3.33713,8
49.9231,1.6585,-7.04208,8
50.3367,1.57997,-10.1694,8
50.1732,1.43567,-15.1645,8
50.1517,1.42154,-14.684,8
50.1568,1.52597,-8.26004,8
50.1568,1.52597,-8.26004,8
50.2301,1.55745,-9.75618,8
50.2886,1.64132,-10.3364,8
50.1961,1.36084,-1.43641,8
50.4723,1.77449,-0.539711,8
50.5093,2.44804,9.06244,8
50.5093,2.44804,9.06244,8
50.5093,2.44804,9.06244,8
49.9892,1.30137,12.8751,8
49.977,1.09537,15.3993,8
49.977,1.09537,15.3993,8
49.937,1.79855,23.6135,8
49.937,1.79855,23.6135,8
49.6567,1.41987,20.1173,8
48.8023,1.02109,21.2458,8
48.6451,1.21003,27.9665,8
49.2322,1.13206,23.3529,8
49.2636,1.09103,24.6457,8
49.4841,1.44598,30.4051,8
49.2834,1.44381,33.6262,8
49.0987,2.11165,48.892,8
49.0987,2.11165,48.892,8
48.6846,0.98039,31.4124,8
48.6504,2.45892,38.3641,8
48.6504,2.45892,38.3641,8
48.6035,2.49161,38.4937,8
48.5643,1.07487,27.6301,8
48.7471,1.17646,28.3733,8
48.7471,1.17646,28.3733,8
48.5858,1.17198,25.9068,8
48.1861,1.20124,32.6666,8
48.3706,1.2414,32.4767,8
49.2153,1.12768,27.2409,8
49.2253,1.16029,26.3372,8
49.4445,1.5192,41.7402,8
49.6792,0.704426,21.8511,8
49.516,0.323439,7.87827,8
49.516,0.323439,7.87827,8
49.8177,0.670251,16.4929,8
50.167,1.05472,26.2307,8
50.6901,1.52315,-7.44153,8
50.9495,1.7268,-5.71288,8
51.0736,1.60677,-8.6853,8
50.6573,1.37314,-2.07215,8
49.8881,3.60424,31.3511,9
49.8746,3.64346,31.7446,9
49.8732,4.2711,38.2421,9
49.8732,4.2711,38.2421,9
49.8732,4.2711,38.2421,9
49.8732,4.2711,38.2421,9
49.8732,4.2711,38.2421,9
49.6808,4.99495,44.5704,9
50.0211,2.75691,37.275,9
50.0211,2.75691,37.275,9
50.4964,3.17261,36.742,9
50.4964,3.17261,36.742,9
50.4964,3.17261,36.742,9
50.4964,3.17261,36.742,9
50.4527,2.75946,22.3191,9
50.4527,2.75946,22.3191,9
50.2384,2.83827,17.8161,9
50.3909,2.58488,14.0752,9
51.1271,4.69779,26.5746,9
51.1271,4.69779,26.5746,9
50.1319,2.7946,22.8086,9
50.2438,2.92511,24.347,9
49.8233,2.25855,15.2108,9
49.9894,1.59228,5.70417,9
49.9894,1.59228,5.70417,9
50.9794,1.43679,5.66092,9
50.9794,1.43679,5.66092,9
50.5491,1.91576,-1.55316,9
50.4327,1.82077,-5.01947,9
50.0006,1.42093,-18.585,9
50.0006,1.42093,-18.585,9
50.0031,1.41496,-27.8126,9
50.2154,1.3439,-13.8797,9
50.2154,1.3439,-13.8797,9
50.2154,1.3439,-13.8797,9
49.7328,1.81268,0.66557,9
49.7328,1.81268,0.66557,9
49.4735,1.79373,-3.90522,9
49.4735,1.79373,-3.90522,9
49.4152,1.84657,-5.21109,9
49.2839,1.59867,3.35726,9
49.2839,1.59867,3.35726,9
49.3886,0.926651,-4.53962,9
49.4327,0.856491,-2.87718,9
49.3904,0.837393,-3.04042,9
49.6105,0.872302,-3.95701,9
49.6105,0.872302,-3.95701,9
48.9665,0.266083,6.59412,9
48.8991,0.262328,19.1811,9
48.535,-0.0671279,31.0526,9
48.5328,-0.0739142,30.672,9
53.0465,2.6713,14.8805,10
52.923,2.7032,13.9464,10
52.7951,2.7468,17.0134,10
51.8911,2.04304,12.5789,10
51.1499,1.97155,7.19111,10
51.529,1.75585,4.31851,10
51.5798,1.79336,4.21541,10
51.4445,1.73325,3.42671,10
51.4445,1.73325,3.42671,10
50.7127,1.37073,-1.88399,10
50.7127,1.37073,-1.88399,10
50.7127,1.37073,-1.88399,10
50.5477,0.898204,-3.5396,10
50.4566,0.637358,-4.45354,10
50.4844,0.692162,-4.21315,10
51.1748,0.851826,-16.7603,10
51.1769,0.888761,-15.5847,10
51.3201,0.431038,-23.8876,10
51.0383,0.457414,-19.8849,10
50.9152,0.504496,-18.2311,10
50.9152,0.504496,-18.2311,10
50.8493,0.580252,-16.6692,10
50.8177,0.710849,-15.2441,10
50.8177,0.710849,-15.2441,10
50.8043,0.0552041,-26.6877,10
50.3034,0.712233,-19.7231,10
50.2251,0.576269,-14.8697,10
50.229,0.583513,-14.8618,10
50.229,0.583513,-14.8618,10
50.247,0.571913,-14.8511,10
50.247,0.571913,-14.8511,10
50.5679,-0.0740397,-23.5835,10
50.5881,-0.142197,-27.4725,10
50.5881,-0.142197,-27.4725,10
50.5881,-0.142197,-27.4725,10
50.6929,0.510555,-0.317721,10
50.9706,0.855888,-0.326183,10
50.7017,0.534556,10.2532,10
50.5364,0.617583,19.2906,10
50.4625,0.6047,28.7338,10
50.2439,-0.0486745,37.7846,10
50.2439,-0.0486745,37.7846,10
50.4675,-0.744986,46.7739,10
50.6631,-0.874901,53.6737,10
50.6631,-0.874901,53.6737,10
50.6631,-0.874901,53.6737,10
50.6631,-0.874901,53.6737,10
50.6631,-0.874901,53.6737,10
50.6631,-0.874901,53.6737,10
50.6631,-0.874901,53.6737,10
50.4901,-0.763654,48.4925,10
50.0056,0.0892051,-3.01005,11
50.0056,0.0892051,-3.01005,11
49.9739,0.0343548,-3.05944,11
49.6795,0.319425,-8.99918,11
49.8628,0.607805,-4.81934,11
49.8628,0.607805,-4.81934,11
50.0043,0.76934,-10.8553,11
50.3324,0.0392238,-13.5884,11
50.5183,0.872641,-28.4132,11
50.5183,0.872641,-28.4132,11
50.5967,1.24351,-35.9311,11
51.5082,1.66302,-44.5603,11
51.4306,1.40254,-31.4104,11
51.4426,1.41252,-31.9396,11
51.3969,1.73357,-19.4783,11
50.7876,1.63549,-2.65223,11
50.8219,1.61806,-7.82418,11
50.4862,1.50817,9.80047,11
50.447,1.35404,15.9166,11
51.1101,1.42633,20.8246,11
51.1101,1.42633,20.8246,11
51.1795,1.42698,20.0812,11
51.3766,1.15986,25.0106,11
51.3766,1.15986,25.0106,11
51.3766,1.15986,25.0106,11
50.8315,0.847506,23.0475,11
50.6245,1.06843,25.0545,11
51.1307,0.528209,20.147,11
51.8161,0.413465,11.9321,11
52.7028,0.323923,27.0677,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.7328,0.309318,26.8089,11
52.1847,0.767145,34.3571,11
52.0948,0.767949,35.4649,11
52.3473,0.846989,36.0542,11
51.3637,0.580964,17.6417,11
50.7915,0.346944,22.5427,11
51.4797,0.35215,27.1883,11
51.4797,0.35215,27.1883,11
51.6336,0.169024,27.0412,11
51.2719,0.376873,27.8756,11
51.2719,0.376873,27.8756,11
51.3717,0.688969,1.32251,12
51.2875,0.893447,6.38482,12
51.2921,0.854684,5.40705,12
51.3177,0.837947,5.41175,12
50.7459,1.20273,22.1343,12
50.8743,1.28029,23.156,12
50.8743,1.28029,23.156,12
50.8715,1.26912,22.817,12
50.8453,1.20414,25.4435,12
50.7607,0.331735,20.7019,12
50.7837,0.452659,20.4043,12
50.8861,0.40305,19.3104,12
50.8892,0.371849,20.8724,12
50.8561,0.388643,20.7948,12
51.0175,0.789977,8.77706,12
51.0175,0.789977,8.77706,12
51.0175,0.789977,8.77706,12
50.9269,0.87734,10.9564,12
51.5107,1.25361,1.82783,12
51.5107,1.25361,1.82783,12
51.1588,1.10882,3.96698,12
51.5674,0.364516,-7.59246,12
51.5674,0.364516,-7.59246,12
51.5674,0.364516,-7.59246,12
51.5674,0.364516,-7.59246,12
51.8571,0.175241,-7.29531,12
51.9535,1.04881,1.26744,12
52.4043,0.983444,0.415613,12
52.4043,0.983444,0.415613,12
52.8836,1.24726,-1.62945,12
52.8783,1.24903,-1.51241,12
52.8783,1.24903,-1.51241,12
52.8783,1.24903,-1.51241,12
52.8783,1.24903,-1.51241,12
51.7953,1.60443,-7.48947,12
51.8021,1.6031,-7.61241,12
51.692,1.63896,5.10713,12
51.3706,1.80251,8.88029,12
51.3706,1.80251,8.88029,12
51.3706,1.80251,8.88029,12
51.3706,1.80251,8.88029,12
50.9556,2.33025,-4.10573,12
50.7902,2.24932,-17.0837,12
50.7902,2.24932,-17.0837,12
50.7412,2.23434,-19.0135,12
50.7277,1.73642,-5.70815,12
50.3367,1.35607,18.9203,12
50.5819,0.745102,30.309,12
50.6261,0.568098,30.9583,12
50.6261,0.568098,30.9583,12
50.6178,0.546419,32.5805,12
50.1689,1.24304,11.1297,13
50.2638,1.19814,12.5891,13
50.4918,1.23183,15.4326,13
50.3661,1.31466,11.7272,13
49.5381,1.25547,22.9808,13
49.5443,1.40443,25.8532,13
49.866,1.27842,22.0357,13
49.866,1.27842,22.0357,13
49.937,1.34136,25.1935,13
49.937,1.34136,25.1935,13
50.1015,1.31358,26.867,13
50.1015,1.31358,26.867,13
50.2972,1.46235,12.009,13
50.4598,2.2727,17.038,13
50.4682,2.25099,16.7358,13
50.7375,2.75598,12.5341,13
50.7375,2.75598,12.5341,13
50.7375,2.75598,12.5341,13
50.4723,3.10809,-2.00021,13
50.2816,2.57992,-0.937167,13
50.2816,2.57992,-0.937167,13
50.2961,2.62385,-2.00547,13
50.1888,2.55667,-5.84467,13
50.1888,2.55667,-5.84467,13
50.2621,2.25877,-8.32691,13
50.2621,2.25877,-8.32691,13
50.2852,2.1734,-7.20142,13
50.2852,2.1734,-7.20142,13
50.6166,2.49302,-16.7917,13
50.6166,2.49302,-16.7917,13
50.6166,2.49302,-16.7917,13
50.607,1.98362,-18.1394,13
50.9807,1.74743,-19.2715,13
50.9656,1.50979,-9.28377,13
51.3457,1.02998,-4.49131,13
51.3457,1.02998,-4.49131,13
51.3878,1.83772,-12.3487,13
51.3878,1.83772,-12.3487,13
51.4297,1.86149,-1.26878,13
51.4297,1.86149,-1.26878,13
51.4146,1.85331,-1.76245,13
51.6254,1.6342,-0.685911,13
51.6254,1.6342,-0.685911,13
51.5211,1.56376,1.39883,13
51.5211,1.56376,1.39883,13
51.5211,1.56376,1.39883,13
51.5211,1.56376,1.39883,13
51.5074,1.52405,1.37058,13
50.6612,0.197873,-0.621099,13
50.6182,0.254464,0.383138,13
50.7336,0.466641,5.39685,13
52.1518,1.568,-34.8573,14
51.2987,1.94027,-0.275314,14
51.2987,1.94027,-0.275314,14
51.2954,1.98176,2.11192,14
51.2954,1.98176,2.11192,14
51.2231,2.00744,3.28961,14
50.5943,1.15389,8.09705,14
51.0783,1.12635,-22.7006,14
51.0783,1.12635,-22.7006,14
50.0891,1.64687,-16.0238,14
50.0891,1.64687,-16.0238,14
50.0665,1.42565,-2.60163,14
50.0665,1.42565,-2.60163,14
50.4242,1.73654,-3.39267,14
50.2557,1.81201,0.68024,14
50.1224,2.06891,-5.28897,14
50.1224,2.06891,-5.28897,14
50.1224,2.06891,-5.28897,14
50.1224,2.06891,-5.28897,14
50.1224,2.06891,-5.28897,14
49.7942,1.46649,-0.781663,14
49.7435,0.845107,-4.87232,14
49.7435,0.845107,-4.87232,14
48.9511,0.446044,-9.57687,14
48.9511,0.446044,-9.57687,14
48.7415,0.501267,-25.4972,14
50.0801,-0.210007,-8.71379,14
50.0801,-0.210007,-8.71379,14
50.2459,0.510643,-0.292857,14
50.2459,0.510643,-0.292857,14
50.2767,-0.662548,-14.7913,14
50.2591,-0.935228,-13.6182,14
50.2591,-0.935228,-13.6182,14
50.2591,-0.935228,-13.6182,14
50.2591,-0.935228,-13.6182,14
50.2591,-0.935228,-13.6182,14
50.2263,-1.14913,-15.2582,14
50.3248,-1.4388,-21.7659,14
49.6165,-0.670444,-16.113,14
49.6351,-0.644487,-15.8098,14
50.0556,0.225306,-7.37343,14
50.0499,0.213415,-7.48877,14
50.0499,0.213415,-7.48877,14
50.048,0.225113,-6.98776,14
50.4899,0.215502,-12.9784,14
50.3771,0.102501,-18.5017,14
50.3665,0.111831,-17.9234,14
50.2608,0.00740801,-33.0171,14
50.3586,0.210244,-27.7854,14
50.3586,0.210244,-27.7854,14
50.3586,0.210244,-27.7854,14
51.9159,2.11188,-6.58737,15
51.9159,2.11188,-6.58737,15
51.8823,2.10252,-6.24326,15
51.9996,1.99287,-10.4359,15
51.7536,0.8824,-0.84547,15
51.0853,0.622639,9.26147,15
51.0853,0.622639,9.26147,15
51.4472,-0.204506,16.0949,15
51.4472,-0.204506,16.0949,15
51.4472,-0.204506,16.0949,15
51.4305,-0.221291,17.0988,15
50.9902,-0.0691236,12.9147,15
50.9902,-0.0691236,12.9147,15
50.4427,-0.411365,6.0662,15
50.4093,-0.606829,6.07311,15
50.5758,-0.884013,9.81619,15
50.7532,-1.37198,15.7406,15
50.2748,-0.48485,17.3483,15
49.7007,-1.19737,20.1117,15
49.7007,-1.19737,20.1117,15
49.7007,-1.19737,20.1117,15
49.694,-1.21257,20.1108,15
49.7205,-1.30667,19.5807,15
50.1597,0.0193234,27.1328,15
50.1646,0.0335498,26.9895,15
50.2863,-0.460882,18.6243,15
50.2911,-0.443829,18.4521,15
51.4881,-1.01022,6.53108,15
51.4881,-1.01022,6.53108,15
51.4881,-1.01022,6.53108,15
51.2859,-0.442625,8.80899,15
51.2859,-0.442625,8.80899,15
50.0144,-1.10337,-7.0079,15
50.0144,-1.10337,-7.0079,15
50.2567,-0.0318493,-0.30443,15
50.2567,-0.0318493,-0.30443,15
50.2335,-0.182358,-1.06095,15
50.2335,-0.182358,-1.06095,15
50.2529,-1.28719,-26.7651,15
50.2529,-1.28719,-26.7651,15
50.2529,-1.28719,-26.7651,15
50.2529,-1.28719,-26.7651,15
50.2529,-1.28719,-26.7651,15
50.2529,-1.28719,-26.7651,15
50.2529,-1.28719,-26.7651,15
50.2529,-1.28719,-26.7651,15
50.3536,-0.961367,-22.5973,15
50.3536,-0.961367,-22.5973,15
50.3536,-0.961367,-22.5973,15
50.3536,-0.961367,-22.5973,15
50.3514,-0.926472,-21.8974,15
50.4033,2.70138,36.4461,16
50.4033,2.70138,36.4461,16
50.7553,3.40874,48.7303,16
50.7553,3.40874,48.7303,16
50.0912,2.45212,59.6085,16
50.2765,2.67905,70.1658,16
50.2765,2.67905,70.1658,16
50.08,2.25058,60.9033,16
50.08,2.25058,60.9033,16
50.08,2.25058,60.9033,16
50.1762,2.27157,56.8601,16
50.1762,2.27157,56.8601,16
50.1857,2.30474,57.5894,16
50.2234,2.56973,63.408,16
50.2234,2.56973,63.408,16
50.4924,1.77259,39.5286,16
50.2285,1.55071,27.7542,16
50.1984,1.88774,26.4654,16
50.3752,1.43946,18.1516,16
50.3752,1.43946,18.1516,16
50.3759,1.44825,17.6221,16
50.3759,1.44825,17.6221,16
50.1702,1.49384,21.8319,16
50.404,1.15736,20.5671,16
50.404,1.15736,20.5671,16
50.404,1.15736,20.5671,16
50.404,1.15736,20.5671,16
50.404,1.15736,20.5671,16
50.404,1.15736,20.5671,16
50.4189,1.17523,20.8394,16
50.3343,0.91572,22.6963,16
50.2202,0.945584,21.4263,16
50.1237,1.26984,25.7506,16
50.551,0.918044,11.2986,16
50.9512,0.364097,-10.145,16
50.8473,-0.0803073,-27.9094,16
51.1276,0.893795,-16.8705,16
51.1276,0.893795,-16.8705,16
50.8015,0.663838,-14.6129,16
50.82,0.707304,-14.3427,16
